-inf	infinitesimal point
-35	preon (conjectured)
-18	fermion
-14	nucleus, nucleon: proton, neutron, electron
-11	hydrogen atom
-8	large molecule: ferritin
-6	virus, microbe, cell
-3	mesofauna: insect
0	creature: human, animal, plant
3	neighborhood, animal range
5	island, city
7	rocky planet
9	gas giant, star
13	solar system
16	interstellar distance, Sol to Alpha Centauri
18	star cluster
20	galaxy
23	galactic cluster
27	observable universe
31	universe (conjectured size)
inf	infinitely large
