-10	absolutely false
-9	extremely false
-8	exceptionally false
-7	very false
-6	rather false
-5	false
-4	quite false
-3	moderately false
-2	somewhat false
-1	slightly false
0	normal
1	slightly true
2	somewhat true
3	moderately true
4	quite true
5	true
6	rather true
7	very true
8	exceptionally true
9	extremely true
10	absolutely true
